indicator_code,disease_name,country_code,spatial_dim_type,year,numeric_value,low,high
TB_e_mort_exc_tbhiv_num,Tuberculosis,LTU,COUNTRY,2017,160.0,160.0,170.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SLV,COUNTRY,2006,59.0,53.0,66.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CUB,COUNTRY,2020,35.0,35.0,36.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PAK,COUNTRY,2020,50000.0,40000.0,62000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NPL,COUNTRY,2011,20000.0,12000.0,31000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JOR,COUNTRY,2012,15.0,13.0,16.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GEO,COUNTRY,2024,58.0,33.0,89.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ARE,COUNTRY,2007,41.0,29.0,56.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,UZB,COUNTRY,2005,5000.0,3200.0,7100.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TUR,COUNTRY,2019,410.0,400.0,430.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,HRV,COUNTRY,2008,100.0,100.0,100.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,KOR,COUNTRY,2015,2600.0,2500.0,2800.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BHR,COUNTRY,2023,15.0,9.0,22.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SVN,COUNTRY,2012,11.0,11.0,11.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,RUS,COUNTRY,2003,33000.0,32000.0,34000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PER,COUNTRY,2013,1800.0,1500.0,2000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,QAT,COUNTRY,2007,4.0,3.0,5.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GHA,COUNTRY,2017,11000.0,4900.0,19000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JOR,COUNTRY,2014,11.0,9.0,13.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ARM,COUNTRY,2017,45.0,44.0,45.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WB_UMI,WORLDBANKINCOMEGROUP,2003,304000.0,287000.0,322000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BGR,COUNTRY,2021,59.0,56.0,61.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MNG,COUNTRY,2021,360.0,310.0,410.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CHL,COUNTRY,2001,630.0,620.0,640.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MAC,COUNTRY,2013,140.0,94.0,190.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SYR,COUNTRY,2024,33.0,29.0,37.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CHN,COUNTRY,2008,55000.0,50000.0,61000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CPV,COUNTRY,2010,32.0,27.0,37.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,UZB,COUNTRY,2006,3600.0,3000.0,4300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GBR,COUNTRY,2021,200.0,200.0,210.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BGR,COUNTRY,2024,94.0,92.0,96.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MNG,COUNTRY,2003,470.0,430.0,510.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MLI,COUNTRY,2004,2100.0,1100.0,3300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,VUT,COUNTRY,2006,110.0,83.0,140.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,RWA,COUNTRY,2000,450.0,220.0,760.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TJK,COUNTRY,2004,910.0,840.0,990.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LBR,COUNTRY,2011,2200.0,1500.0,3000.0
