indicator_code,country_code,spatial_dim_type,year,sex_code,cause_code,numeric_value,low,high
SDG_SH_DTH_RNCOM,THA,COUNTRY,2008,SEX_FMLE,GHECAUSES_GHE117,7412.342,4878.268,10609.26
SDG_SH_DTH_RNCOM,SDN,COUNTRY,2009,SEX_MLE,GHECAUSES_GHE080,1295.412,679.3689,2323.948
SDG_SH_DTH_RNCOM,GIN,COUNTRY,2004,SEX_MLE,GHECAUSES_GHE110,4190.575,2449.142,6668.951
SDG_SH_DTH_RNCOM,BDI,COUNTRY,2014,SEX_BTSX,GHECAUSES_GHE080,1477.743,868.5582,2381.285
SDG_SH_DTH_RNCOM,SVN,COUNTRY,2013,SEX_FMLE,GHECAUSES_GHE110,4437.552,2971.393,5816.913
SDG_SH_DTH_RNCOM,ARM,COUNTRY,2007,SEX_BTSX,GHECAUSES_GHE110,13939.46,11986.9,15748.49
SDG_SH_DTH_RNCOM,BLR,COUNTRY,2008,SEX_MLE,GHECAUSES_GHE110,37868.04,34115.25,41942.92
SDG_SH_DTH_RNCOM,BHS,COUNTRY,2011,SEX_BTSX,GHECAUSES_GHE117,42.9509,29.79212,59.25312
SDG_SH_DTH_RNCOM,SWE,COUNTRY,2006,SEX_BTSX,GHECAUSES_GHE117,4648.02,3433.302,5515.777
SDG_SH_DTH_RNCOM,TON,COUNTRY,2002,SEX_MLE,GHECAUSES_GHE110,92.62083,66.03957,125.4244
SDG_SH_DTH_RNCOM,NGA,COUNTRY,2007,SEX_FMLE,GHECAUSES_GHE061,29170.9,18109.19,43704.94
SDG_SH_DTH_RNCOM,COD,COUNTRY,2003,SEX_MLE,GHECAUSES_GHE110,33554.49,19178.96,55363.32
SDG_SH_DTH_RNCOM,QAT,COUNTRY,2002,SEX_MLE,GHECAUSES_GHE117,24.79626,15.12753,40.03812
SDG_SH_DTH_RNCOM,SVN,COUNTRY,2006,SEX_MLE,GHECAUSES_GHE117,398.7375,329.8488,472.1245
SDG_SH_DTH_RNCOM,SAU,COUNTRY,2003,SEX_MLE,GHECAUSES_GHE110,20177.83,15793.01,24971.15
SDG_SH_DTH_RNCOM,VEN,COUNTRY,2015,SEX_FMLE,GHECAUSES_GHE080,6322.897,4549.904,8346.78
SDG_SH_DTH_RNCOM,UZB,COUNTRY,2019,SEX_MLE,GHECAUSES_GHE117,1766.261,1220.667,2484.409
SDG_SH_DTH_RNCOM,EUR,REGION,2006,SEX_MLE,GHECAUSES_GHE110,2017009.0,1777140.0,2255320.0
SDG_SH_DTH_RNCOM,BTN,COUNTRY,2009,SEX_MLE,GHECAUSES_GHE117,235.7655,135.5498,406.3199
SDG_SH_DTH_RNCOM,MDG,COUNTRY,2002,SEX_MLE,GHECAUSES_GHE117,2981.174,1690.983,4910.715
SDG_SH_DTH_RNCOM,HRV,COUNTRY,2003,SEX_MLE,GHECAUSES_GHE080,431.9994,357.959,516.1558
SDG_SH_DTH_RNCOM,PRK,COUNTRY,2001,SEX_BTSX,GHECAUSES_GHE080,3383.644,1917.124,5507.488
SDG_SH_DTH_RNCOM,BLR,COUNTRY,2013,SEX_MLE,GHECAUSES_GHE117,1372.947,1131.335,1642.607
SDG_SH_DTH_RNCOM,ZMB,COUNTRY,2006,SEX_BTSX,GHECAUSES_GHE110,14111.59,8436.854,21904.26
SDG_SH_DTH_RNCOM,TCD,COUNTRY,2001,SEX_MLE,GHECAUSES_GHE110,5048.113,2914.926,8076.599
SDG_SH_DTH_RNCOM,SLV,COUNTRY,2017,SEX_MLE,GHECAUSES_GHE117,1292.529,819.8542,1874.732
SDG_SH_DTH_RNCOM,JPN,COUNTRY,2001,SEX_MLE,GHECAUSES_GHE061,184058.4,166660.2,196724.8
SDG_SH_DTH_RNCOM,AFG,COUNTRY,2011,SEX_MLE,GHECAUSES_GHE080,1916.513,1000.561,3442.87
SDG_SH_DTH_RNCOM,CHN,COUNTRY,2007,SEX_MLE,GHECAUSES_GHE117,651942.0,577407.6,719365.9
SDG_SH_DTH_RNCOM,SYR,COUNTRY,2007,SEX_BTSX,GHECAUSES_GHE080,1752.038,1205.93,2468.854
SDG_SH_DTH_RNCOM,URY,COUNTRY,2001,SEX_BTSX,GHECAUSES_GHE061,7857.397,6466.795,9321.844
SDG_SH_DTH_RNCOM,GAB,COUNTRY,2002,SEX_MLE,GHECAUSES_GHE061,326.5723,184.6198,537.73
SDG_SH_DTH_RNCOM,BTN,COUNTRY,2011,SEX_MLE,GHECAUSES_GHE110,561.3143,344.7297,885.5875
SDG_SH_DTH_RNCOM,SSD,COUNTRY,2001,SEX_BTSX,GHECAUSES_GHE061,3414.084,1761.68,6025.328
