indicator_code,country_code,spatial_dim_type,year,sex_code,numeric_value,low,high
WHOSIS_000001,ZWE,COUNTRY,2021,SEX_BTSX,58.48102238,57.77939563,59.3735111
WHOSIS_000001,NGA,COUNTRY,2020,SEX_FMLE,64.43518594,63.40696985,65.38601771
WHOSIS_000001,RUS,COUNTRY,2011,SEX_BTSX,69.77052933,69.75994142,69.8325113
WHOSIS_000001,HTI,COUNTRY,2005,SEX_BTSX,58.63996581,57.83890036,59.58483627
WHOSIS_000001,TUR,COUNTRY,2021,SEX_MLE,72.53640214,72.08313833,73.08049586
WHOSIS_000001,BEN,COUNTRY,2020,SEX_BTSX,64.40363479,63.58290733,65.43045395
WHOSIS_000001,GRC,COUNTRY,2000,SEX_MLE,75.97017437,75.95733777,76.05833999
WHOSIS_000001,BFA,COUNTRY,2005,SEX_BTSX,55.19811279,54.36159536,55.9755655
WHOSIS_000001,KGZ,COUNTRY,2000,SEX_BTSX,65.93470005,65.58023279,66.43341638
WHOSIS_000001,CYP,COUNTRY,2010,SEX_BTSX,81.17822871,80.98532615,81.44885623
WHOSIS_000001,BIH,COUNTRY,2015,SEX_MLE,74.52760304,74.45944434,74.66124238
WHOSIS_000001,MLT,COUNTRY,2017,SEX_BTSX,82.05744637,81.95150584,82.2551923
WHOSIS_000001,RUS,COUNTRY,2010,SEX_FMLE,74.76350378,74.74626578,74.8398971
WHOSIS_000001,WB_LI,WORLDBANKINCOMEGROUP,2001,SEX_BTSX,54.40413809,53.45241935,55.55347049
WHOSIS_000001,TCD,COUNTRY,2011,SEX_BTSX,56.17787256,55.27298897,57.09772657
WHOSIS_000001,BGD,COUNTRY,2000,SEX_MLE,63.71118475,63.24300038,64.31105101
WHOSIS_000001,COD,COUNTRY,2019,SEX_FMLE,64.08077318,63.32812207,64.96872991
WHOSIS_000001,SEAR,REGION,2007,SEX_BTSX,66.92530001,66.43864031,67.51624854
WHOSIS_000001,TCD,COUNTRY,2012,SEX_MLE,55.13300401,54.18474274,56.18927739
WHOSIS_000001,NLD,COUNTRY,2010,SEX_FMLE,82.50005909,82.48381662,82.57574464
WHOSIS_000001,TON,COUNTRY,2021,SEX_BTSX,72.72088222,72.06895262,73.52335539
WHOSIS_000001,DNK,COUNTRY,2013,SEX_BTSX,80.1645831,80.14262375,80.25635595
WHOSIS_000001,NIC,COUNTRY,2004,SEX_MLE,72.86952492,72.57185099,73.2107035
WHOSIS_000001,ROU,COUNTRY,2005,SEX_FMLE,75.61820668,75.55951826,75.74816474
WHOSIS_000001,FJI,COUNTRY,2012,SEX_MLE,65.56656873,65.15048405,66.02159043
WHOSIS_000001,SLB,COUNTRY,2013,SEX_MLE,62.54505448,61.57461438,63.57889541
WHOSIS_000001,ATG,COUNTRY,2018,SEX_MLE,74.02402622,73.79536333,74.42164292
WHOSIS_000001,LBN,COUNTRY,2018,SEX_BTSX,79.36847038,79.03397435,79.81935622
WHOSIS_000001,HRV,COUNTRY,2003,SEX_BTSX,74.86052687,74.79013639,74.97555546
WHOSIS_000001,LTU,COUNTRY,2003,SEX_BTSX,71.84648999,71.77727765,71.94886998
WHOSIS_000001,BFA,COUNTRY,2010,SEX_MLE,56.45253442,55.54186623,57.41035396
WHOSIS_000001,SAU,COUNTRY,2000,SEX_MLE,69.42950388,68.95543683,69.94709285
WHOSIS_000001,PAK,COUNTRY,2009,SEX_BTSX,63.92267166,63.19606897,64.83266755
WHOSIS_000001,KIR,COUNTRY,2011,SEX_MLE,58.15393034,57.21703465,59.11251759
WHOSIS_000001,GRD,COUNTRY,2008,SEX_BTSX,70.92544169,70.70439161,71.2233701
WHOSIS_000001,DZA,COUNTRY,2014,SEX_BTSX,75.93393131,75.68349643,76.22956826
WHOSIS_000001,SAU,COUNTRY,2019,SEX_MLE,76.45406338,76.15291039,76.83747203
WHOSIS_000001,GNB,COUNTRY,2003,SEX_BTSX,51.43513822,50.60780957,52.39308948
WHOSIS_000001,ITA,COUNTRY,2004,SEX_MLE,77.69725945,77.64002963,77.75448928
WHOSIS_000001,MNE,COUNTRY,2004,SEX_BTSX,73.73506539,73.58517838,73.94428137
WHOSIS_000001,DOM,COUNTRY,2004,SEX_MLE,70.19105428,69.60448177,70.8112354
WHOSIS_000001,SSD,COUNTRY,2021,SEX_FMLE,60.61474174,59.33783533,61.90931819
WHOSIS_000001,MDV,COUNTRY,2005,SEX_MLE,71.50191,71.19261519,71.85542064
WHOSIS_000001,PHL,COUNTRY,2019,SEX_FMLE,73.21518621,72.77807052,73.6518433
WHOSIS_000001,COG,COUNTRY,2018,SEX_MLE,62.71322436,61.95169188,63.54606557
WHOSIS_000001,SEN,COUNTRY,2005,SEX_MLE,60.85186284,60.25555967,61.37882
WHOSIS_000001,IRN,COUNTRY,2018,SEX_MLE,76.26902586,76.14130088,76.43108373
WHOSIS_000001,ERI,COUNTRY,2000,SEX_MLE,51.25031992,50.36939531,52.24101954
WHOSIS_000001,KGZ,COUNTRY,2000,SEX_FMLE,69.38331499,69.00514801,69.82785253
WHOSIS_000001,ISR,COUNTRY,2017,SEX_FMLE,84.23610352,84.22496572,84.31570615
WHOSIS_000001,PNG,COUNTRY,2018,SEX_MLE,65.44844312,64.69850562,66.22898462
WHOSIS_000001,LAO,COUNTRY,2009,SEX_FMLE,66.13687655,65.60204869,66.80821318
WHOSIS_000001,SAU,COUNTRY,2004,SEX_FMLE,72.92597569,72.60472401,73.32594783
WHOSIS_000001,AMR,REGION,2001,SEX_BTSX,74.30398059,74.14816975,74.5274998
WHOSIS_000001,COM,COUNTRY,2018,SEX_BTSX,68.19621524,67.20441361,69.1975349
WHOSIS_000001,SAU,COUNTRY,2013,SEX_BTSX,77.33139242,77.10606703,77.64464042
WHOSIS_000001,CHN,COUNTRY,2019,SEX_BTSX,77.31273653,76.74860841,77.91512593
